row_id,trigger,target,specification
0,starting social interaction,greeting others present,greet everyone before proceeding
1,receiving a compliment,response to the compliment,respond with a respectful compliment or blessings
2,joining a group,greeting others,acknowledge and greet each person
3,being invited to someone's house,bringing a token of gratitude,always bring a token of gratitude
4,at gatherings,when to start eating,wait for the host to serve
5,arriving at a gathering,seating and food service,wait for the host to offer
6,after a meal,leaving food on plate,leave a small amount of food
7,during communal dining,how to compliment the meal,directly praise the meal without questioning
8,,,
9,offering or receiving a gift,how to use hands,use both hands or only the right hand
10,giving a gift,how to present the gift,use both hands or the right hand
11,,,
12,passing or receiving objects,which hand to use,use right hand or both hands
13,passing objects,which hand to use,use right hand or both hands
14,passing an object,which hand to use,use right hand or both hands
15,offered food or drinks,acceptance of offerings,accept as a sign of respect
16,being offered food and drink,showing appreciation,accept offers and participate in meals
17,being offered a second serving,how to respond,accept the second serving
18,offering or receiving a gift,which hand to use,use either the right hand or both hands
19,offering or receiving gifts,how to handle the gift,offer and receive with both hands
20,offering or receiving gifts,which hand to use,use right hand or both hands
21,passing or receiving items,how to use hands,use both hands or right hand only
22,passing items,how to give or receive,use both hands or right hand only
23,passing or receiving items,how to handle items,use both hands or touch right forearm with left hand
24,visiting someone's home,bringing a gift,bring a small gift like food
25,visiting someone's home,bringing a gift,bring a small gift such as food
26,visiting someone's home,bringing a gift and accepting refreshments,bring a small gift and accept offered tea
27,after a meal,leaving the dining area,seek permission before leaving
28,before and after a meal,hand hygiene,wash hands thoroughly
29,after a meal,leaving the table,ask for permission before leaving
30,receiving a gift in social setting,how to accept the gift,accept graciously and with appreciation
31,,,
32,receiving a gift,how to accept the gift,accept with gratitude
33,living in shared spaces,sharing possessions and privacy,share possessions and do not demand privacy
34,being close to someone,sharing possessions,be open about possessions and space
35,sharing possessions and space,who to share with,share generously with close community members
36,being offered refreshments,how to respond,accept politely and express appreciation
37,offered refreshments by the host,acceptance of refreshments,accept as a sign of politeness
38,being offered refreshments,response to the offer,accept politely and compliment the host
39,after a meal,how much food to leave,leave some food on the table
40,before starting the meal,guest dining preferences,ask about their utensil preferences
41,sitting down to a meal,when to start eating,wait until all dishes are present
42,receiving a gift in presence of giver,how to handle the gift,set aside the gift without opening
43,receiving a gift,how to respond,express gratitude and set aside
44,receiving a gift,how to respond,express gratitude and set aside
45,using gestures and offerings,which hand to use,use the right hand
46,offering something,which hand to use,use right hand or both hands
47,offering or receiving items,which hand to use,use your right hand
48,offer exchange,how to respond to offers,politely decline twice before accepting
49,being offered something,response to the offer,refuse at least once before accepting
50,being offered something,response to the offer,politely decline twice before accepting
51,during visits,accepting refreshments,always accept offered refreshments
52,during a visit,accepting refreshments,always accept offered refreshments
53,offered refreshments,acceptance of refreshments,always accept to show respect
54,communal dining,hand to use,use your right hand for eating and passing food
55,communal meals,how to use hands,use right hand for eating and passing food
56,serving or passing food,which hand to use,use the right hand
57,initially refusing a gift,how to respond,offer the gift multiple times
58,initial refusal of a gift,offering the gift,persist using the right hand or both hands
59,initial refusal of gift,offering the gift again,persist to show respect and understanding
60,,,
61,going out in a group,payment for food,pay for your own portion
62,covering a meal or expense,how to offer help,gently offer without insisting or arguing
63,visiting someone,what to prioritize,engage in meaningful conversation and stay longer
64,after a meal,staying for conversations,"engage in prolonged, relaxed conversations"
65,social gatherings,engagement and conversation,engage sincerely and value the company
66,sitting down to a meal,when to start eating,wait until the host has begun
67,during a meal,when to start eating and socialize,wait for the host's signal and engage in post-meal socialization
68,,,
69,receiving a gift,when to open the gift,open it immediately to express gratitude
70,giving a gift,what kind of gift to choose,choose items for everyone to enjoy
71,visiting someone's house,type of gift,choose gifts that can be shared
72,arriving at social functions,punctuality,arrive late is acceptable
73,arriving at social events,punctuality,arrive late to enjoy the moment
74,arriving at social gatherings,punctuality,arrive later than scheduled time
75,,,
76,departing from someone's home,behavior before leaving,offer a complimentary speech
77,seating guests,how to assign seats,offer the best seats and refreshments
78,at a meal with a host,serving order,let the host serve first
79,sitting down to a meal,when to start eating,wait until the host or designated guest starts
80,during a meal at someone's home,bringing food to share,do not bring a plate of food
81,receiving a gift,how to accept the gift,accept graciously and do not open immediately
82,receiving a gift in tongan culture,how to accept the gift,accept graciously without declining
83,end of a visit,accepting gifts,accept gifts graciously
84,giving or receiving items,how to handle items,use both hands
