premise,hypothesis,update,label,country/cultural group,topic,anchor_trigger,anchor_target,anchor_specification,match_trigger,match_target,match_specification,anchor_rule,match_rule,trigger_sim,target_sim,spec_sim,normad_anchor_idx,normad_match_idx
"Taylor arrived at a neighborhood gathering shortly after the scheduled start time, finding others already mingling.",It is okay to arrive at social events later than the designated time.,They are a serbia national.,strengthener,serbia,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive at social events later than the designated time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,2439,268
"Taylor arrived at a neighborhood gathering shortly after the scheduled start time, finding others already mingling.",It is okay to arrive at social events later than the designated time.,They are a sweden national.,weakener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive at social events later than the designated time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,2439,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a sweden national.,strengthener,sweden,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive at social events later than the designated time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,2439,268
Jordan arrived at the conference room just as the meeting was about to start.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,They are a serbia national.,weakener,serbia,basic_etiquette,arriving at social events,timing of arrival,arrive later than the designated time,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,It is okay to arrive at social events later than the designated time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.7957,1.0,0.6848,2439,268
Jordan arrived at the café where friends had gathered for a casual afternoon get-together.,"Time is seen as flexible in social situations, emphasizing the importance of relationships over punctuality.",They are a timor-leste national.,strengthener,timor-leste,basic_etiquette,social situation,punctuality,prioritize relationships over strict timing,social interactions,being punctual,always aim to be on time,"Time is seen as flexible in social situations, emphasizing the importance of relationships over punctuality.","One must always aim to be punctual, showing respect for the time and schedules of others.",0.7573,0.8991,0.505,1031,2397
Jordan arrived at the café where friends had gathered for a casual afternoon get-together.,"Time is seen as flexible in social situations, emphasizing the importance of relationships over punctuality.",They are a egypt national.,weakener,egypt,basic_etiquette,social situation,punctuality,prioritize relationships over strict timing,social interactions,being punctual,always aim to be on time,"Time is seen as flexible in social situations, emphasizing the importance of relationships over punctuality.","One must always aim to be punctual, showing respect for the time and schedules of others.",0.7573,0.8991,0.505,1031,2397
"Taylor arrived at the meeting room just as the clock struck the scheduled start time, ready for the discussion.","One must always aim to be punctual, showing respect for the time and schedules of others.",They are a egypt national.,strengthener,egypt,basic_etiquette,social situation,punctuality,prioritize relationships over strict timing,social interactions,being punctual,always aim to be on time,"Time is seen as flexible in social situations, emphasizing the importance of relationships over punctuality.","One must always aim to be punctual, showing respect for the time and schedules of others.",0.7573,0.8991,0.505,1031,2397
"Taylor arrived at the meeting room just as the clock struck the scheduled start time, ready for the discussion.","One must always aim to be punctual, showing respect for the time and schedules of others.",They are a timor-leste national.,weakener,timor-leste,basic_etiquette,social situation,punctuality,prioritize relationships over strict timing,social interactions,being punctual,always aim to be on time,"Time is seen as flexible in social situations, emphasizing the importance of relationships over punctuality.","One must always aim to be punctual, showing respect for the time and schedules of others.",0.7573,0.8991,0.505,1031,2397
"Jordan arrived at the party just a few minutes after the scheduled start time, and others were already mingling in the living room.",Arriving slightly later than the designated time to social gatherings can be a sign of respecting the host's preparation time.,They are a chile national.,strengthener,chile,basic_etiquette,arriving at social gatherings,timing of arrival,arrive slightly later to respect the host,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,Arriving slightly later than the designated time to social gatherings can be a sign of respecting the host's preparation time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.8038,1.0,0.5708,515,268
"Jordan arrived at the party just a few minutes after the scheduled start time, and others were already mingling in the living room.",Arriving slightly later than the designated time to social gatherings can be a sign of respecting the host's preparation time.,They are a sweden national.,weakener,sweden,basic_etiquette,arriving at social gatherings,timing of arrival,arrive slightly later to respect the host,arriving at appointments or gatherings,timing of arrival,arrive exactly at the scheduled time,Arriving slightly later than the designated time to social gatherings can be a sign of respecting the host's preparation time.,It is correct to arrive at the exact scheduled time for any appointment or social gathering.,0.8038,1.0,0.5708,515,268
